318323527, Фітнес-браслет Kumi N8 Black , 1 990 ₴
317792509, Фітнес-браслет Epik New Divide , 575 ₴
319458061, Фітнес браслет Hewolf 115 Рlus з Крокоміром Відображенням Викликів і СМС Лічильник Калорій і Пульсу Червоний , 398 ₴
318323536, Фітнес-браслет Kumi N8 White , 1 990 ₴
318492448," Смарт часы с сенсорным экраном и фитнес функциями Smart Watch SWPL-6 Aluminium, пульсометр, оксиметр, тонометр, температура, 2 браслета, беспроводная зарядка Розовый ", 2 338 ₴
201011983, Фітнес браслет KMITX M.Band 5 OLED Blue , 492 408 ₴
256753206, Фітнес трекер M-5 з чорним гумовим браслетом , 642 ₴
201011989, Фітнес браслет KMITX M.Band 5 OLED Black , 492 408 ₴
240223567, Фітнес-браслети Smart Band MI 5 з кольоровим дисплеєм , 299 ₴
318903832," Фітнес-трекер Keep fit, чорний ", 1 333 ₴
318492550," Смарт часы с сенсорным экраном и фитнес функциями Smart Watch SWPL-6 Aluminium, пульсометр, оксиметр, тонометр, температура, 2 браслета, беспроводная зарядка Белый ", 2 338 ₴
318492535," Смарт часы с сенсорным экраном и фитнес функциями Smart Watch SWPL-6 Aluminium, пульсометр, оксиметр, тонометр, температура, 2 браслета, беспроводная зарядка Красный ", 2 338 ₴
318492529," Смарт часы с сенсорным экраном и фитнес функциями Smart Watch SWPL-6 Aluminium, пульсометр, оксиметр, тонометр, температура, 2 браслета, беспроводная зарядка Черный ", 2 338 ₴
318323524, Фитнес-браслет Kumi N8 Pink , 1 996 ₴
317792539, Фітнес-браслет Band Pulse з тонометром , 400 ₴
300366688, Фитнес трекер M-5 с синим резиновым браслетом , 388 ₴
288590198, Фітнес браслет M-5 + чорний гумовий браслет , 636 ₴
254412234, Фітнес-трекер UWatch Smart VIP Lady 5077 Silver 5077 , 2 060 ₴
254412229, Фітнес-трекер Smart Mioband PRO Silver 5056 , 1 437 ₴
244129273, Фітнес браслет M5 , 428 ₴
231215995, Розумний годинник фітнес-браслет Lemfo Y9 з пульсометр і тонометром (Рожевий) , 2 813 ₴
199930927, Фітнес браслет KMITX M.Band 5 OLED Roze , 492 408 ₴
185402428, Фітнес-браслет Fit Smart M4 червоний , 300 ₴
185402421, Фітнес-браслет Fit Smart M4 сірий , 300 ₴
185402414, Фітнес-браслет Fit Smart M3 чорний , 175 ₴
179168326," Фітнес-браслет Grape Band 5 Синій, AMOLED-екран, герметичний корпус, моніторинг кисню, акселерометр ", 849 ₴
110509552, Фітнес браслет Smart Band Mi3 Plus Black (181) , 380 ₴
